Entity,Code,y_1970,y_1980,y_1990,y_2000,y_2010,y_2020
Luxembourg,LUX,47217.04,35706.965,50161.215,63380.73,67380.98,45148.81
Malaysia,MYS,3923.8542,7252.5874,7682.3364,11868.33,12510.147,11505.002
Mexico,MEX,4921.021,8916.147,11213.675,11419.195,10408.694,6658.383
Morocco,MAR,1476.8203,2592.8042,2681.9783,2923.631,4426.563,3720.7358
Netherlands,NLD,32907.01,32460.227,28673.984,30579.172,34181.727,27009.93
New Zealand,NZL,16858.611,15524.291,14959.695,19304.125,19340.787,16644.38
North Macedonia,MKD,,,6232.778,5529.3794,5244.0864,5562.533
Norway,NOR,25034.791,27432.84,24109.307,24266.395,24495.68,18981.363
Oman,OMN,1395.4224,10415.549,12247.638,14575.701,25253.35,21964.1
Pakistan,PAK,918.7771,745.46533,1105.6046,1445.1146,1254.1755,1072.7332
Peru,PER,4195.2544,4450.3794,3150.43,3315.4153,3473.1367,3212.9465
Philippines,PHL,2404.2793,2695.133,2243.1477,2537.0505,1831.3076,1868.6106
Poland,POL,3258.4355,5735.9463,4985.1265,6249.4463,8138.513,9354.408
Portugal,PRT,6183.4873,10220.769,14013.653,18388.98,14117.501,11080.875
Qatar,QAT,9523.358,15499.441,30865.121,33860.49,47319.867,45963.973
Romania,ROU,6388.045,9915.893,9634.601,5315.661,4936.378,5981.0938
Russia,RUS,,,20165.656,9982.006,11204.207,12469.3545
Saudi Arabia,SAU,40531.633,32200.902,38107.207,39990.19,54996.027,48735.13
Singapore,SGP,42278.152,46459.344,90192.97,105007.37,133237.08,131396.44
Slovakia,SVK,10461.809,15769.033,11098.602,7600.39,8484.841,8610.477
Slovenia,SVN,,,10079.047,14114.959,15054.956,11844.35
South Africa,ZAF,4618.1504,4889.8447,5017.902,5645.799,5840.2456,4555.1147
South Korea,KOR,3018.022,7466.0415,13370.583,26199.6,26059.34,27113.197
Spain,ESP,9735.431,16501.492,14312.205,20179.666,17050.76,12495.399
Sri Lanka,LKA,1418.5851,1245.3533,1196.6829,2346.3809,2563.3462,3221.6392
Sweden,SWE,42495.613,44470.26,22183.682,23043.564,19428.123,12966.613
Switzerland,CHE,24237.502,24373.646,22989.42,20646.783,18849.574,11869.712
Taiwan,TWN,4138.6895,12031.208,15764.338,22550.05,24075.496,20716.426
Thailand,THA,1684.8322,2981.382,4224.7314,6642.806,7826.88,8341.986
Trinidad and Tobago,TTO,25847.719,17320.3,11738.609,13072.982,18512.535,11507.747
Turkey,TUR,2344.8442,4143.9224,5040.3555,5781.909,5117.183,6508.285
Turkmenistan,TKM,,,17185.004,12763.473,12155.978,15557.024
USSR,OWID_USS,11978.499,18866.797,,,,
Ukraine,UKR,,,14961.133,2912.8184,3540.829,2773.5222
United Arab Emirates,ARE,4748.776,59352.043,94771.07,70020.07,43867.15,52067.137
United Kingdom,GBR,22080.52,17205.523,17491.93,16175.931,14097.939,9800.144
United States,USA,40813.953,42365.65,37525.516,37730.16,31791.307,26895.477
Uzbekistan,UZB,,,6324.8677,3197.133,1880.1338,1859.1548
Venezuela,VEN,11138.221,16234.096,12404.557,11239.926,14948.307,4742.6226
Vietnam,VNM,1757.6117,439.9465,523.2565,1280.3065,2296.759,2927.7446
World,OWID_WRL,7217.834,8002.0854,7074.2583,6990.4272,6879.611,6216.806
